epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.037,1.278,2.59722,1.26709,0.98687,0.05607,0.52024,0.3905,1.00161,2.63786,1.05456,0.0004287,0.0004287,0.0004287
2,15.7517,1.16592,1.43817,1.17902,0.83068,0.13908,0.59231,0.42602,1.09585,2.50546,1.12257,0.000868813,0.000868813,0.000868813
3,19.8939,1.20243,1.2931,1.20743,0.55039,0.64915,0.66494,0.43613,1.26099,1.85045,1.32372,0.001306,0.001306,0.001306
4,23.8891,1.14864,1.15399,1.18798,0.64109,0.58341,0.66836,0.46749,1.1696,1.66396,1.22704,0.00141485,0.00141485,0.00141485
5,27.8339,1.15039,1.09975,1.17064,0.86238,0.60997,0.74773,0.5759,1.07806,1.11632,1.22275,0.00141014,0.00141014,0.00141014
6,31.8327,1.10665,1.00921,1.15919,0.84046,0.76304,0.81183,0.60456,1.04868,0.94942,1.19138,0.00140542,0.00140542,0.00140542
7,35.8328,1.0643,0.94712,1.14232,0.76819,0.72084,0.76593,0.56551,1.04004,0.99285,1.15579,0.00140071,0.00140071,0.00140071
8,39.9126,1.07096,0.94639,1.15172,0.90471,0.74276,0.81219,0.62859,0.99483,0.94325,1.12686,0.00139599,0.00139599,0.00139599
9,43.9555,1.03844,0.92273,1.14185,0.74651,0.70127,0.73591,0.58496,0.95765,0.82322,1.13665,0.00139127,0.00139127,0.00139127
10,48.0121,1.05792,0.87596,1.13783,0.93251,0.72435,0.82397,0.61693,1.01454,0.80435,1.16518,0.00138656,0.00138656,0.00138656
11,52.206,1.01685,0.81837,1.12217,0.6648,0.81228,0.77179,0.57709,0.96835,0.92597,1.13177,0.00138184,0.00138184,0.00138184
12,57.3979,1.02361,0.8396,1.124,0.88432,0.77343,0.80864,0.59946,0.9571,0.79411,1.1337,0.00137713,0.00137713,0.00137713
